;Mkt-RF;SMB;HML;RMW;CMA;RF
20200102;0.65;-0.50;-0.21;0.08;-0.14;0.01
20200103;-0.49;0.23;-0.01;-0.07;-0.08;0.01
20200106;0.02;-0.54;-0.24;-0.04;-0.29;0.01
20200107;-0.01;0.27;-0.07;-0.05;-0.12;0.01
20200108;-0.02;-0.77;-0.46;0.05;-0.25;0.01
20200109;0.63;-0.13;-0.49;0.17;-0.19;0.01
20200110;-0.12;0.05;-0.31;0.11;-0.08;0.01
20200113;0.38;-0.27;-0.13;0.18;0.00;0.01
20200114;0.07;0.07;-0.20;-0.11;-0.12;0.01
20200115;0.13;0.09;-0.62;0.07;-0.14;0.01
20200116;0.53;-0.18;-0.17;0.01;-0.05;0.01
20200117;0.32;-0.38;-0.03;0.11;-0.03;0.01
20200120;0.04;0.16;0.14;-0.01;-0.01;0.01
20200121;-0.41;-0.18;-0.27;-0.05;-0.20;0.01
20200122;0.13;0.05;-0.24;0.06;-0.08;0.01
20200123;-0.28;-0.24;-0.15;0.05;-0.04;0.01
20200124;-0.46;-0.08;-0.12;0.09;-0.02;0.01
20200127;-1.63;0.18;0.04;-0.35;0.15;0.01
20200128;0.67;-0.58;-0.33;0.05;-0.18;0.01
20200129;-0.02;-0.20;-0.31;0.08;0.14;0.01
20200130;-0.19;-0.63;0.10;-0.26;0.18;0.01
20200131;-1.06;0.69;-0.32;-0.12;-0.40;0.01
20200203;0.28;-0.64;-0.52;-0.33;-0.38;0.01
20200204;1.31;-0.30;-0.72;0.25;-0.21;0.01
20200205;0.89;0.01;0.78;0.26;0.35;0.01
20200206;0.45;-0.25;-0.11;-0.13;-0.11;0.01
20200207;-0.59;-0.36;0.03;-0.16;-0.25;0.01
20200210;0.29;-0.32;-0.61;-0.03;-0.31;0.01
20200211;0.44;0.19;0.47;-0.11;0.18;0.01
20200212;0.48;-0.10;-0.20;0.31;-0.10;0.01
20200213;-0.16;0.12;-0.07;0.01;-0.24;0.01
20200214;0.02;-0.28;-0.11;-0.14;-0.15;0.01
20200217;-0.04;-0.27;0.14;-0.15;0.00;0.01
20200218;-0.48;-0.29;-0.23;-0.19;-0.27;0.01
20200219;0.49;-0.18;-0.42;0.11;-0.32;0.01
20200220;-0.47;0.21;0.56;-0.13;-0.04;0.01
20200221;-0.65;0.32;0.36;-0.29;0.29;0.01
20200224;-2.98;0.60;0.33;-0.18;0.29;0.01
20200225;-2.55;0.13;-0.24;-0.11;0.00;0.01
20200226;-0.55;-0.59;-0.34;-0.09;0.00;0.01
20200227;-3.31;0.78;0.22;-0.24;-0.19;0.01
20200228;-1.60;-0.51;-0.45;0.12;-0.43;0.01
20200302;2.93;-1.29;-0.93;0.46;-0.02;0.01
20200303;-1.31;1.23;-0.38;-0.10;0.00;0.01
20200304;2.56;-1.96;-0.74;0.24;-0.09;0.01
20200305;-1.98;0.91;-0.53;-0.32;0.03;0.01
20200306;-2.09;-0.21;-0.64;0.48;0.06;0.01
20200309;-7.01;0.42;-2.56;0.76;-0.20;0.01
20200310;2.21;-2.21;-0.49;0.44;-0.27;0.01
20200311;-3.66;0.32;0.47;-0.27;0.39;0.01
20200312;-9.61;0.64;-0.89;0.14;-0.05;0.01
20200313;4.90;-5.28;0.14;0.55;-0.38;0.01
20200316;-9.01;1.86;-0.32;0.10;0.90;0.01
20200317;3.67;-1.89;-0.79;-0.20;0.22;0.01
20200318;-5.04;-0.81;-2.74;0.83;-0.10;0.01
20200319;0.75;0.36;0.33;-1.52;-0.71;0.01
20200320;-1.95;1.68;0.23;-0.46;-0.75;0.01
20200323;-2.62;1.16;-1.21;0.34;-0.59;0.01
20200324;8.31;-2.07;1.08;0.05;0.16;0.01
20200325;2.76;0.71;1.38;-0.11;0.42;0.01
20200326;4.50;-1.11;-0.27;-0.34;0.13;0.01
20200327;-2.14;1.98;-0.04;-0.21;0.30;0.01
20200330;1.93;-1.62;-1.52;0.71;-0.18;0.01
20200331;-0.60;1.14;-0.05;0.03;-0.37;0.01
20200401;-3.89;0.21;-0.77;0.49;0.17;0.00
20200402;0.94;-1.54;-0.15;0.14;0.57;0.00
20200403;-1.51;-0.66;-0.43;-0.03;0.00;0.00
20200406;5.66;-1.17;-0.22;0.42;-0.60;0.00
20200407;0.98;1.24;1.15;0.37;-0.24;0.00
20200408;2.19;0.08;-0.09;0.21;-0.14;0.00
20200409;1.65;1.05;1.06;-0.53;-0.22;0.00
20200410;0.13;0.23;0.25;-0.14;0.05;0.00
20200413;-0.70;-0.17;-1.28;0.16;-0.17;0.00
20200414;2.48;-0.39;-2.48;0.73;-0.66;0.00
20200415;-2.40;-0.57;-2.01;0.47;-0.52;0.00
20200416;0.11;0.02;-1.65;0.30;-0.44;0.00
20200417;2.67;-0.24;1.13;-0.44;-0.09;0.00
20200420;-1.05;0.84;-0.83;-0.51;-0.43;0.00
20200421;-2.83;0.91;0.32;-0.13;0.25;0.00
20200422;1.63;-1.18;-0.63;0.10;-0.10;0.00
20200423;0.35;1.13;0.78;-0.08;0.01;0.00
20200424;0.76;-0.22;-0.40;-0.09;-0.08;0.00
20200427;1.80;0.53;1.06;-0.45;0.16;0.00
20200428;0.22;1.02;1.39;0.20;0.44;0.00
20200429;2.47;0.17;1.13;0.24;-0.32;0.00
20200430;-0.98;0.19;-1.24;0.96;-0.39;0.00
20200501;-2.19;0.18;-0.35;-0.19;0.29;0.00
20200504;-0.44;-0.13;-0.97;0.08;-0.37;0.00
20200505;0.90;-0.34;-0.81;-0.11;-0.29;0.00
20200506;-0.44;0.26;-1.50;0.21;-0.64;0.00
20200507;1.14;-0.04;-0.43;-0.22;-0.56;0.00
20200508;1.63;0.36;1.01;0.20;0.19;0.00
20200511;-0.01;0.17;-1.70;0.30;-0.48;0.00
20200512;-1.23;0.22;-0.73;0.05;-0.04;0.00
20200513;-1.67;0.10;-1.27;0.50;-0.23;0.00
20200514;-0.07;-1.27;0.21;0.01;0.08;0.00
20200515;0.53;0.57;-0.46;-0.09;-0.55;0.00
20200518;3.12;0.11;1.39;0.30;0.31;0.00
20200519;-0.42;0.50;-0.25;0.36;-0.54;0.00
20200520;1.54;0.19;0.04;0.13;-0.41;0.00
20200521;-0.67;0.67;0.04;0.04;-0.12;0.00
20200522;-0.19;-0.03;-0.73;0.09;-0.42;0.00
20200525;0.55;0.46;-0.21;0.28;-0.17;0.00
20200526;1.66;0.44;2.39;-0.01;0.62;0.00
20200527;1.15;0.00;2.39;-0.50;0.87;0.00
20200528;0.41;-0.56;-0.94;0.12;0.10;0.00
20200529;0.02;-0.01;-1.68;0.24;-0.65;0.00
20200601;0.86;0.17;0.17;0.08;-0.20;0.00
20200602;1.01;-0.09;0.62;0.04;0.18;0.00
20200603;1.71;-0.38;1.71;-0.12;0.48;0.00
20200604;-0.05;0.37;1.27;0.03;0.45;0.00
20200605;2.05;-0.52;2.00;-0.46;0.61;0.00
20200608;1.09;0.38;1.47;-0.51;0.54;0.00
20200609;-0.68;-0.02;-1.45;0.42;-0.54;0.00
20200610;-0.37;-0.23;-2.40;0.55;-0.53;0.00
20200611;-5.13;0.57;-1.69;0.41;-0.47;0.00
20200612;0.63;-0.66;0.68;-0.36;-0.08;0.00
20200615;0.36;-0.12;-0.16;-0.63;-0.28;0.00
20200616;2.13;0.33;0.18;0.26;0.20;0.00
20200617;-0.05;-0.30;-1.21;0.24;-0.54;0.00
20200618;-0.18;-0.04;-0.33;-0.22;-0.25;0.00
20200619;-0.21;0.11;-0.70;-0.11;-0.39;0.00
20200622;0.47;0.15;-0.82;0.08;-0.22;0.00
20200623;0.73;0.10;0.02;0.12;0.08;0.00
20200624;-2.44;0.51;-0.90;0.38;-0.10;0.00
20200625;0.63;-0.67;-0.14;-0.46;0.00;0.00
20200626;-1.47;0.82;-0.32;0.12;0.37;0.00
20200629;0.83;-0.32;0.73;0.02;0.35;0.00
20200630;1.06;-0.31;-0.15;-0.01;-0.32;0.00
20200701;0.24;-0.69;-1.22;0.12;-0.93;0.00
20200702;0.79;-0.40;0.29;-0.20;0.19;0.00
20200703;-0.01;0.32;-0.44;0.11;-0.22;0.00
20200706;1.64;-0.25;0.08;0.16;0.01;0.00
20200707;-0.92;0.02;-1.21;0.19;-0.44;0.00
20200708;0.53;-0.34;-0.60;-0.15;-0.46;0.00
20200709;-0.62;-0.48;-1.55;0.33;-0.77;0.00
20200710;0.71;-0.46;1.06;0.00;0.40;0.00
20200713;-0.24;0.53;1.28;0.27;1.17;0.00
20200714;0.80;-0.61;0.73;-0.21;0.41;0.00
20200715;1.37;0.93;0.38;-0.01;0.18;0.00
20200716;-0.52;-0.09;0.72;0.11;0.37;0.00
20200717;0.36;-0.04;-0.66;-0.18;-0.20;0.00
20200720;0.77;-0.56;-1.55;0.03;-1.14;0.00
20200721;0.53;1.00;1.02;-0.06;0.46;0.00
20200722;0.12;-0.32;-0.19;0.27;0.00;0.00
20200723;-0.70;0.82;0.96;-0.30;0.40;0.00
20200724;-0.67;0.07;0.27;0.22;0.13;0.00
20200727;0.82;0.10;-0.96;0.12;-0.29;0.00
20200728;-0.53;0.01;0.40;-0.06;0.23;0.00
20200729;0.91;-0.37;0.06;-0.14;-0.14;0.00
20200730;-0.60;0.16;-1.29;0.28;-0.45;0.00
20200731;-0.47;-1.05;-1.04;0.40;-0.08;0.00
20200803;1.16;0.17;-0.68;-0.16;0.07;0.00
20200804;0.62;0.58;0.50;-0.06;0.18;0.00
20200805;0.80;0.61;0.06;-0.03;-0.27;0.00
20200806;0.20;-0.15;-0.59;0.47;-0.18;0.00
20200807;-0.22;0.36;0.79;-0.03;0.34;0.00
20200810;0.20;0.47;1.11;0.19;0.91;0.00
20200811;0.08;0.40;1.41;0.05;0.66;0.00
20200812;1.29;-0.82;-0.23;0.30;0.07;0.00
20200813;0.05;0.41;-1.04;-0.07;-0.64;0.00
20200814;-0.21;0.22;0.06;0.14;0.07;0.00
20200817;0.43;0.00;-1.07;-0.06;-0.54;0.00
20200818;0.23;-0.13;-1.18;0.30;-0.69;0.00
20200819;-0.36;0.04;-0.18;-0.01;-0.01;0.00
20200820;-0.06;-0.30;-1.01;0.32;-0.37;0.00
20200821;-0.01;-0.35;-0.57;0.58;0.18;0.00
20200824;0.95;-0.18;0.84;0.25;0.27;0.00
20200825;0.37;-0.01;-0.05;-0.30;-0.37;0.00
20200826;0.85;-0.65;-1.12;0.10;-0.88;0.00
20200827;-0.17;-0.09;0.20;0.28;0.10;0.00
20200828;0.59;0.19;0.50;-0.30;0.08;0.00
20200831;-0.12;0.14;-1.35;0.14;-0.42;0.00
20200901;0.41;-0.21;-0.74;0.32;-0.47;0.00
20200902;1.05;-0.62;-0.39;0.73;-0.26;0.00
20200903;-2.53;1.09;1.87;-0.35;0.59;0.00
20200904;-0.93;0.26;1.54;-0.05;1.16;0.00
20200907;0.22;-0.01;0.05;0.02;0.04;0.00
20200908;-2.02;1.31;0.34;-0.40;-0.10;0.00
20200909;1.59;-1.03;-0.87;0.15;-0.17;0.00
20200910;-1.01;0.76;0.32;-0.29;-0.03;0.00
20200911;0.15;-0.01;0.20;0.25;0.33;0.00
20200914;1.16;0.34;-0.31;-0.35;0.05;0.00
20200915;0.48;-0.26;-1.11;0.26;-0.55;0.00
20200916;-0.07;0.85;0.49;-0.51;0.04;0.00
20200917;-0.57;0.56;0.26;-0.10;0.35;0.00
20200918;-0.63;0.81;-0.33;-0.45;-0.35;0.00
20200921;-1.68;-0.85;-1.33;0.35;-0.51;0.00
20200922;0.45;-0.63;-0.81;0.48;-0.62;0.00
20200923;-1.58;0.23;-0.50;0.34;-0.18;0.00
20200924;-0.23;-0.54;0.28;0.14;0.20;0.00
20200925;1.01;-0.25;-1.09;0.24;-0.53;0.00
20200928;1.73;0.14;0.74;-0.27;0.19;0.00
20200929;-0.12;0.41;-0.96;0.00;-0.58;0.00
20200930;0.22;-0.37;-0.20;0.27;0.15;0.00
20201001;0.63;0.09;-0.62;0.02;-0.50;0.00
20201002;-0.70;0.45;1.28;-0.26;0.49;0.00
20201005;1.78;0.23;0.10;-0.25;-0.05;0.00
20201006;-0.83;0.77;0.63;-0.41;0.12;0.00
20201007;1.25;-0.36;-0.34;-0.01;-0.23;0.00
20201008;0.76;0.20;0.46;0.03;0.05;0.00
20201009;0.87;-0.04;-1.31;0.33;-0.48;0.00
20201012;1.03;-0.68;-0.79;0.64;-0.31;0.00
20201013;-0.55;-0.15;-0.77;-0.14;-0.73;0.00
20201014;-0.37;0.38;-0.26;0.36;0.17;0.00
20201015;-0.70;0.15;0.63;-0.12;0.26;0.00
20201016;0.16;-0.31;0.13;-0.10;0.01;0.00
20201019;-0.75;0.85;0.32;-0.20;-0.13;0.00
20201020;0.23;-0.23;0.33;0.23;0.07;0.00
20201021;-0.25;0.42;0.49;0.13;0.19;0.00
20201022;0.16;-0.32;1.13;-0.56;0.38;0.00
20201023;0.50;-0.12;0.53;-0.36;0.01;0.00
20201026;-1.73;-0.07;0.23;-0.22;0.41;0.00
20201027;-0.42;-0.13;-1.50;0.12;-0.88;0.00
20201028;-2.95;0.67;-0.11;-0.19;-0.03;0.00
20201029;0.46;-0.51;0.09;0.14;0.00;0.00
20201030;-1.08;0.14;1.40;-0.22;0.59;0.00
20201102;1.23;-0.16;1.34;-0.25;0.62;0.00
20201103;2.01;-0.07;0.14;-0.18;0.05;0.00
20201104;1.86;-1.18;-3.11;0.57;-1.91;0.00
20201105;2.20;0.35;-0.59;0.19;-0.37;0.00
20201106;0.13;-0.20;-0.26;-0.09;-0.22;0.00
20201109;1.37;0.63;4.16;-0.50;1.72;0.00
20201110;0.32;0.38;3.22;-0.59;1.89;0.00
20201111;0.85;-0.47;-1.00;-0.03;-0.57;0.00
20201112;-0.77;0.09;-0.92;0.00;-0.34;0.00
20201113;0.86;0.09;0.41;0.08;0.21;0.00
20201116;1.33;0.59;1.69;0.01;0.75;0.00
20201117;-0.10;0.11;0.57;-0.47;0.11;0.00
20201118;-0.50;0.36;-0.07;-0.03;-0.11;0.00
20201119;0.32;-0.08;-0.58;-0.21;-0.40;0.00
20201120;-0.18;0.57;-0.20;-0.32;-0.10;0.00
20201123;0.40;0.42;1.10;-0.38;0.25;0.00
20201124;1.56;0.06;1.74;-0.10;0.77;0.00
20201125;0.05;-0.23;-0.53;-0.02;-0.38;0.00
20201126;0.05;0.17;-0.48;0.08;-0.20;0.00
20201127;0.51;0.19;-0.68;-0.20;-0.46;0.00
20201130;-0.87;-0.50;-2.00;0.37;-0.57;0.00
20201201;1.21;0.26;0.48;0.36;0.37;0.00
20201202;0.21;-0.02;0.86;-0.13;0.49;0.00
20201203;0.28;0.43;0.40;-0.11;0.39;0.00
20201204;0.70;0.24;0.81;-0.41;0.56;0.00
20201207;-0.13;-0.25;-0.40;-0.17;-0.16;0.00
20201208;0.27;0.28;-0.56;-0.07;-0.22;0.00
20201209;-0.43;0.47;0.92;0.23;0.54;0.00
20201210;0.16;0.11;-0.10;-0.69;-0.20;0.00
20201211;-0.29;0.03;-0.74;-0.06;-0.48;0.00
20201214;0.03;0.47;-0.56;0.01;-0.49;0.00
20201215;0.92;0.23;0.34;-0.09;0.38;0.00
20201216;0.38;-0.12;-0.38;0.05;-0.34;0.00
20201217;0.81;0.28;-0.89;-0.16;-0.32;0.00
20201218;-0.24;0.05;-0.69;-0.13;-0.44;0.00
20201221;-0.73;0.20;-0.53;-0.05;-0.12;0.00
20201222;-0.18;-0.05;-0.85;-0.40;-0.27;0.00
20201223;0.45;0.64;0.93;-0.11;0.37;0.00
20201224;0.25;0.06;-0.16;0.26;0.05;0.00
20201225;0.06;0.13;0.13;-0.05;0.08;0.00
20201228;0.52;-0.65;0.03;0.73;0.05;0.00
20201229;0.24;0.04;-0.30;0.61;-0.16;0.00
20201230;0.25;0.48;-0.01;-0.40;0.02;0.00
20201231;-0.01;-0.29;0.18;0.19;0.07;0.00
20210101;0.00;0.00;0.00;0.00;0.00;0.00
20210104;-0.60;0.36;0.19;-0.38;0.03;0.00
20210105;0.72;0.50;0.47;-0.20;0.28;0.00
20210106;0.80;0.89;2.90;-1.07;1.32;0.00
20210107;1.19;-0.22;-0.19;-0.63;-0.32;0.00
20210108;0.53;-0.43;-0.99;0.00;-0.44;0.00
20210111;-0.73;0.13;0.60;-0.17;0.27;0.00
20210112;0.44;0.78;0.84;-0.66;0.34;0.00
20210113;-0.05;-0.33;-0.40;0.06;-0.18;0.00
20210114;0.17;0.99;0.89;-0.71;0.39;0.00
20210115;-1.03;-0.48;-0.19;0.23;-0.11;0.00
20210118;0.02;0.19;-0.23;0.04;-0.24;0.00
20210119;0.73;0.18;-0.59;-0.27;-0.42;0.00
20210120;0.96;-0.26;-0.66;0.65;-0.47;0.00
20210121;0.19;-0.07;-0.90;0.59;-0.22;0.00
20210122;-0.35;0.31;-0.53;-0.26;0.04;0.00
20210125;-0.05;-0.18;-0.85;0.34;0.31;0.00
20210126;-0.12;0.09;-0.07;0.40;0.41;0.00
20210127;-2.04;0.79;0.27;0.32;1.06;0.00
20210128;0.49;-0.92;0.14;-0.27;-0.68;0.00
20210129;-1.74;0.58;0.36;-0.43;-0.10;0.00
20210201;1.38;0.05;-0.62;-0.12;-0.76;0.00
20210202;1.34;-0.24;-0.30;-0.26;-0.91;0.00
20210203;0.31;0.50;0.78;-0.31;0.13;0.00
20210204;0.62;-0.18;0.23;-0.30;-0.01;0.00
20210205;0.80;0.60;-0.01;-0.39;-0.05;0.00
20210208;0.92;0.93;0.36;-0.58;0.19;0.00
20210209;0.23;0.34;-0.19;-0.26;-0.42;0.00
20210210;-0.04;-0.12;0.53;-0.11;-0.07;0.00
20210211;0.25;-0.19;-0.49;0.10;-0.10;0.00
20210212;0.40;-0.21;0.04;-0.17;0.05;0.00
20210215;0.41;0.08;0.29;-0.16;0.08;0.00
20210216;-0.09;-0.17;1.03;-0.23;-0.02;0.00
20210217;-0.41;-0.41;0.84;0.07;0.37;0.00
20210218;-0.55;-0.77;-0.24;0.55;-0.08;0.00
20210219;0.26;0.87;0.53;-0.68;0.20;0.00
20210222;-0.53;0.76;2.18;0.40;1.04;0.00
20210223;-0.12;-0.68;1.06;0.31;0.26;0.00
20210224;0.60;0.22;1.18;-0.36;0.70;0.00
20210225;-1.65;0.33;0.72;0.38;0.47;0.00
20210226;-1.22;-0.18;-0.77;0.22;-0.52;0.00
20210301;2.21;0.13;-0.17;-0.07;-0.13;0.00
20210302;-0.51;-0.13;0.65;0.07;0.18;0.00
20210303;-0.88;0.56;2.49;0.27;1.21;0.00
20210304;-1.53;-0.61;1.49;0.40;0.80;0.00
20210305;0.91;-0.59;1.14;0.19;0.58;0.00
20210308;-0.19;0.33;2.31;0.00;1.28;0.00
20210309;1.59;0.33;-2.09;-0.34;-1.02;0.00
20210310;0.59;0.29;0.79;0.00;0.23;0.00
20210311;1.18;0.57;-1.16;-0.45;-1.09;0.00
20210312;0.04;0.20;0.77;0.05;0.50;0.00
20210315;0.50;-0.03;-0.39;0.13;-0.04;0.00
20210316;0.00;-0.22;-0.78;0.61;-0.24;0.00
20210317;0.38;0.17;0.57;-0.09;0.13;0.00
20210318;-1.10;-0.06;1.00;0.12;0.74;0.00
20210319;-0.09;0.39;-0.19;-0.54;-0.34;0.00
20210322;0.32;-0.68;-1.10;0.24;-0.21;0.00
20210323;-1.11;-1.35;-0.78;0.55;-0.40;0.00
20210324;-0.89;-0.71;0.88;0.67;0.64;0.00
20210325;0.44;0.55;0.74;-0.10;0.63;0.00
20210326;1.39;0.03;0.23;0.24;0.27;0.00
20210329;-0.27;-0.96;-0.18;0.67;-0.03;0.00
20210330;0.02;0.44;0.80;-0.50;0.09;0.00
20210331;0.18;0.15;-1.64;-0.20;-0.79;0.00
20210401;1.13;0.14;-0.49;-0.19;-0.67;0.00
20210402;0.03;0.03;-0.13;0.10;-0.06;0.00
20210405;1.01;-0.42;-0.10;0.41;0.09;0.00
20210406;0.19;0.06;-0.33;0.03;-0.26;0.00
20210407;-0.04;-0.36;0.36;0.42;-0.02;0.00
20210408;0.65;-0.07;-1.17;0.05;-0.56;0.00
20210409;0.38;-0.38;-0.40;0.44;-0.10;0.00
20210412;-0.13;-0.30;0.52;0.17;0.16;0.00
20210413;0.43;-0.13;-1.07;-0.20;-0.58;0.00
20210414;-0.04;0.65;0.60;-0.17;0.35;0.00
20210415;0.84;-0.53;-0.59;0.28;-0.30;0.00
20210416;0.44;0.00;0.20;0.37;0.19;0.00
20210419;-0.28;0.02;0.42;0.26;0.40;0.00
20210420;-1.15;-0.50;-0.69;0.42;-0.19;0.00
20210421;0.67;-0.07;-0.08;-0.23;0.03;0.00
20210422;-0.19;0.66;-0.56;-0.11;-0.37;0.00
20210423;0.90;0.04;0.22;-0.33;-0.08;0.00
20210426;0.33;0.52;-0.10;-0.60;-0.29;0.00
20210427;-0.16;-0.05;0.41;0.14;0.09;0.00
20210428;0.14;0.06;0.64;-0.39;-0.13;0.00
20210429;0.22;-0.39;0.48;0.41;0.01;0.00
20210430;-0.94;-0.13;-0.06;0.03;0.06;0.00
20210503;0.42;0.26;0.89;0.36;0.79;0.00
20210504;-0.94;-0.10;1.40;0.34;0.76;0.00
20210505;0.42;-0.09;0.80;0.12;0.52;0.00
20210506;0.62;-0.46;1.23;0.29;0.78;0.00
20210507;1.03;0.42;0.00;-0.04;0.06;0.00
20210510;-0.71;-0.17;1.39;0.20;0.92;0.00
20210511;-1.10;0.06;-0.24;-0.46;-0.12;0.00
20210512;-1.81;-0.40;0.56;-0.16;0.32;0.00
20210513;0.53;-0.42;0.51;0.63;0.45;0.00
20210514;1.68;0.15;-0.31;-0.09;-0.32;0.00
20210517;-0.10;0.30;0.60;-0.20;0.23;0.00
20210518;-0.05;0.65;-0.51;-0.42;-0.40;0.00
20210519;-0.78;-0.31;-0.62;0.16;-0.33;0.00
20210520;1.17;-0.24;-1.14;-0.14;-0.67;0.00
20210521;0.02;0.16;0.22;-0.10;-0.01;0.00
20210524;0.78;-0.38;-0.17;0.08;-0.25;0.00
20210525;-0.03;-0.21;-0.89;0.17;-0.44;0.00
20210526;0.15;0.51;-0.07;-0.17;-0.07;0.00
20210527;0.17;0.30;0.60;-0.38;0.25;0.00
20210528;0.35;0.01;-0.02;-0.11;-0.17;0.00
20210531;-0.12;0.22;-0.20;0.12;-0.05;0.00
20210601;0.24;0.55;1.09;-0.24;0.40;0.00
20210602;0.16;-0.13;0.36;0.01;0.32;0.00
20210603;-0.50;-0.10;0.45;0.14;0.27;0.00
20210604;0.82;-0.21;-0.55;0.13;-0.18;0.00
20210607;0.21;0.45;-0.54;-0.29;-0.33;0.00
20210608;0.05;0.43;-0.37;0.05;-0.22;0.00
20210609;-0.18;-0.20;-0.52;0.13;-0.12;0.00
20210610;0.29;-0.48;-0.93;-0.10;-0.59;0.00
20210611;0.18;0.14;-0.18;0.05;-0.09;0.00
20210614;0.15;-0.32;-0.87;0.06;-0.53;0.00
20210615;-0.06;-0.09;0.53;0.25;0.15;0.00
20210616;-0.61;-0.05;-0.11;-0.18;-0.09;0.00
20210617;-0.35;-0.84;-1.76;0.08;-1.00;0.00
20210618;-1.34;0.02;-1.15;0.23;-0.82;0.00
20210621;0.90;-0.28;0.68;0.04;0.49;0.00
20210622;0.71;0.13;-0.29;0.12;-0.12;0.00
20210623;-0.24;0.36;-0.16;-0.23;-0.08;0.00
20210624;0.63;-0.04;0.16;-0.33;0.07;0.00
20210625;0.35;0.00;0.25;-0.07;0.17;0.00
20210628;-0.08;-0.27;-1.12;0.09;-0.41;0.00
20210629;-0.06;-0.21;-0.50;0.34;0.01;0.00
20210630;-0.24;0.16;0.36;0.39;0.44;0.00
20210701;0.28;-0.10;0.43;-0.15;0.38;0.00
20210702;0.61;-0.29;-0.57;0.69;-0.07;0.00
20210705;0.05;0.07;0.20;0.01;0.01;0.00
20210706;-0.38;-0.35;-1.29;0.71;-0.60;0.00
20210707;0.11;-0.56;-0.43;1.18;0.11;0.00
20210708;-0.94;0.10;-0.30;0.05;0.01;0.00
20210709;1.12;-0.06;0.93;-0.42;0.06;0.00
20210712;0.41;0.06;0.13;0.20;-0.13;0.00
20210713;-0.46;-0.27;-0.33;0.61;0.13;0.00
20210714;-0.07;-0.27;-0.17;1.17;0.46;0.00
20210715;-0.63;-0.24;0.49;0.21;0.23;0.00
20210716;-0.65;-0.01;-0.65;0.27;-0.41;0.00
20210719;-1.57;-0.10;-1.21;0.21;-0.82;0.00
20210720;1.04;-0.46;0.33;-0.53;0.20;0.00
20210721;1.15;0.35;0.52;-0.80;-0.18;0.00
20210722;0.21;-0.38;-0.95;0.50;-0.53;0.00
20210723;0.76;-0.54;-0.25;0.34;-0.03;0.00
20210726;0.27;0.34;0.91;-0.07;0.50;0.00
20210727;-0.47;0.08;0.57;0.17;0.43;0.00
20210728;0.32;0.28;-0.18;-0.80;-0.57;0.00
20210729;0.60;0.24;0.29;0.29;0.15;0.00
20210730;-0.64;-0.04;-0.06;0.33;0.44;0.00
20210802;0.29;0.24;-0.15;-0.09;-0.30;0.00
20210803;0.46;-0.45;0.30;0.27;0.13;0.00
20210804;-0.27;-0.54;-0.71;-0.07;-0.85;0.00
20210805;0.56;0.08;-0.02;-0.68;-0.30;0.00
20210806;-0.12;-0.08;1.11;-0.22;0.45;0.00
20210809;-0.04;-0.25;-0.32;-0.26;-0.54;0.00
20210810;0.15;0.31;0.66;0.14;0.60;0.00
20210811;0.36;0.16;1.08;0.12;0.71;0.00
20210812;0.17;-0.40;-0.23;0.03;0.00;0.00
20210813;0.27;-0.22;-0.31;0.54;-0.08;0.00
20210816;-0.38;-0.60;0.05;1.03;0.41;0.00
20210817;-0.76;-0.41;-0.10;0.04;0.10;0.00
20210818;-0.54;0.67;-0.27;-0.19;-0.51;0.00
20210819;-0.76;-0.60;-0.85;0.97;-0.19;0.00
20210820;0.60;-0.11;-0.40;0.07;-0.53;0.00
20210823;1.21;0.53;-0.61;-0.77;-0.62;0.00
20210824;0.42;0.43;0.11;-0.71;-0.04;0.00
20210825;0.24;0.14;0.21;-0.38;-0.16;0.00
20210826;-0.59;0.07;-0.19;0.06;0.03;0.00
20210827;0.91;0.42;0.28;-0.38;0.09;0.00
20210830;0.33;-0.01;-0.90;0.62;-0.05;0.00
20210831;-0.08;0.52;-0.39;-0.10;-0.36;0.00
20210901;0.38;0.18;-0.34;-0.21;-0.30;0.00
20210902;0.46;0.18;-0.13;-0.25;0.23;0.00
20210903;0.05;0.19;-0.27;0.13;-0.17;0.00
20210906;0.25;-0.02;-0.21;0.08;-0.16;0.00
20210907;-0.36;-0.09;-0.15;-0.24;-0.04;0.00
20210908;-0.45;-0.25;0.01;0.52;0.30;0.00
20210909;-0.26;0.28;0.09;-0.36;-0.21;0.00
20210910;-0.42;0.42;-0.15;0.24;-0.24;0.00
20210913;0.16;0.08;1.19;-0.22;0.89;0.00
20210914;-0.36;0.00;-0.52;0.31;-0.35;0.00
20210915;0.33;-0.39;0.46;-0.22;0.28;0.00
20210916;-0.15;-0.21;-0.26;-0.18;-0.39;0.00
20210917;-0.73;0.67;-0.27;-0.36;-0.40;0.00
20210920;-1.66;-0.10;-0.10;0.64;0.44;0.00
20210921;0.15;-0.26;-0.33;-0.05;-0.34;0.00
20210922;0.70;-0.42;0.42;-0.62;0.16;0.00
20210923;1.15;-0.01;0.25;-0.57;-0.12;0.00
20210924;-0.08;0.03;0.63;0.10;0.48;0.00
20210927;-0.17;0.47;2.05;-0.90;0.68;0.00
20210928;-2.00;0.21;1.78;-0.25;1.23;0.00
20210929;-0.25;-0.57;0.50;0.42;0.48;0.00
20210930;-0.57;0.69;-0.68;-0.32;-0.52;0.00
20211001;0.49;-0.32;0.37;-0.13;0.49;0.00
20211004;-0.97;0.35;1.68;-0.07;1.01;0.00
